Zelle;Kapazität in mAh;Temperatur in ;Volt/SOC;Relative Kapazität in %;Dauer d. Alterung in Tagen;(rel. Kal. Alterung %)/Tag;Verlust an abs. Kapa in mAh für entsprechende Tage;mAh/Tag;mAh/Jahr;Paper;Chemie
NCR18650PD;2800;25;0;0,984;288;0,000057;0,159587233;0,000554122;0,202254653;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;0;0,967;285;0,000117;0,326778068;0,00114659;0,418505245;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;0;0,967;300;0,00011;0,308489846;0,001028299;0,375329312;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;40;0;0,976;300;0,000079;0,221468927;0,00073823;0,269453861;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;25;0;0,984;300;0,000054;0,150267216;0,000500891;0,182825113;Calendar Aging of Lithium-Ion Batteries;NCA
UR18650E;2050;50;0;0,974;300;0,000087;0,178913288;0,000596378;0,217677834;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;40;0;0,981;300;0,000065;0,132742117;0,000442474;0,161502909;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;25;0;0,989;300;0,000037;0,075028153;0,000250094;0,091284253;Calendar Aging of Lithium-Ion Batteries;NMC
APR18650M1A;1100;40;0;0,977;270;0,000085;0,093220339;0,000345261;0,126020088;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;25;0;0,999;270;0,000003;0,003452605;0,0000128;0,004667411;Calendar Aging of Lithium-Ion Batteries;LFP
UR18650E;2050;50;0;0,938;512,31;0,000121;0,247533234;0,000483175;0,176358881;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC
INR18650-26F;2600;60;2;1,016;30;-0,000547;-1,422532362;-0,047417745;-17,30747708;Comparative Study on the Calendar Ageing;NMC
INR18650-26F;2600;60;2;1,015;60;-0,000253;-0,658677184;-0,010977953;-4,006952872;Comparative Study on the Calendar Ageing;NMC
INR18650-26F;2600;60;2;1,01;90;-0,000112;-0,290115965;-0,003223511;-1,176581416;Comparative Study on the Calendar Ageing;NMC
INR18650-26F;2600;60;2;1,011;120;-0,000089;-0,231062905;-0,001925524;-0,702816335;Comparative Study on the Calendar Ageing;NMC
INR18650-25R;2500;60;2;1,028;30;-0,000922;-2,305825243;-0,076860841;-28,05420712;Comparative Study on the Calendar Ageing;NCA
INR18650-25R;2500;60;2;1,021;60;-0,000351;-0,877958131;-0,014632636;-5,340911964;Comparative Study on the Calendar Ageing;NCA
INR18650-25R;2500;60;2;1,012;90;-0,000135;-0,336687567;-0,003740973;-1,365455135;Comparative Study on the Calendar Ageing;NCA
INR18650-25R;2500;60;2;1,004;120;-0,000034;-0,083750506;-0,000697921;-0,254741121;Comparative Study on the Calendar Ageing;NCA
UR18650ZY;2600;60;2;1,062;30;-0,00207;-5,381169094;-0,179372303;-65,47089064;Comparative Study on the Calendar Ageing;LCO
UR18650ZY;2600;60;2;1,051;60;-0,00085;-2,209395227;-0,036823254;-13,44048763;Comparative Study on the Calendar Ageing;LCO
UR18650ZY;2600;60;2;1,046;90;-0,000516;-1,340581176;-0,014895346;-5,436801435;Comparative Study on the Calendar Ageing;LCO
UR18650ZY;2600;60;2;1,038;120;-0,000317;-0,824003843;-0,006866699;-2,506345023;Comparative Study on the Calendar Ageing;LCO
NITECORE 2000mAh (?);2000;60;2;1,108;30;-0,003607;-7,213794498;-0,240459817;-87,76783306;Comparative Study on the Calendar Ageing;LMO
NITECORE 2000mAh (?);2000;60;2;1,1;60;-0,001659;-3,31816343;-0,055302724;-20,1854942;Comparative Study on the Calendar Ageing;LMO
NITECORE 2000mAh (?);2000;60;2;1,112;90;-0,001243;-2,486515642;-0,027627952;-10,08420233;Comparative Study on the Calendar Ageing;LMO
NITECORE 2000mAh (?);2000;60;2;1,116;120;-0,000971;-1,941494741;-0,016179123;-5,905379838;Comparative Study on the Calendar Ageing;LMO
INR18650-26F;2600;50;2;0,995;100;0,000046;0,12034338;0,001203434;0,439253336;Comparative Study on the Calendar Ageing;NMC
INR18650-26F;2600;50;2;1,055;150;-0,000364;-0,94711945;-0,00631413;-2,304657329;Comparative Study on the Calendar Ageing;NMC
INR18650-25R;2500;50;2;1,122;100;-0,001225;-3,062265053;-0,030622651;-11,17726744;Comparative Study on the Calendar Ageing;NCA
INR18650-25R;2500;50;2;1,122;150;-0,000817;-2,041510035;-0,013610067;-4,967674419;Comparative Study on the Calendar Ageing;NCA
UR18650ZY;2600;50;2;1,16;100;-0,001599;-4,156190508;-0,041561905;-15,17009535;Comparative Study on the Calendar Ageing;LCO
UR18650ZY;2600;50;2;1,187;150;-0,001248;-3,245975217;-0,021639835;-7,898539696;Comparative Study on the Calendar Ageing;LCO
NITECORE 2000mAh (?);2000;50;2;1,246;100;-0,002464;-4,927911143;-0,049279111;-17,98687567;Comparative Study on the Calendar Ageing;LMO
NITECORE 2000mAh (?);2000;50;2;1,267;150;-0,001781;-3,56177684;-0,023745179;-8,66699031;Comparative Study on the Calendar Ageing;LMO
NCR18650PD;2800;25;3;0,992;267;0,000031;0,086069519;0,000322358;0,117660578;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;55;3;0,971;258;0,000111;0,309407806;0,001199255;0,437728097;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;25;3,45;0,985;267;0,000055;0,154019139;0,000576851;0,210550509;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;55;3,45;0,943;258;0,000221;0,618815611;0,00239851;0,875456194;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;25;3,6;0,978;267;0,000083;0,231028709;0,000865276;0,315825763;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;55;3,6;0,927;258;0,000281;0,787583505;0,003052649;1,114216974;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;25;3,7;0,978;267;0,000083;0,231028709;0,000865276;0,315825763;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;55;3,7;0,918;258;0,000318;0,89071944;0,003452401;1,26012634;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;25;3,85;0,955;267;0,000168;0,471117367;0,001764485;0,64403685;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;55;3,85;0,899;258;0,00039;1,092303313;0,004233734;1,545312827;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;25;3,97;0,956;267;0,000167;0,466587392;0,001747518;0,637844188;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;55;3,97;0,884;258;0,000449;1,25638321;0,004869702;1,777441363;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;25;4,1;0,958;267;0,000159;0,443937519;0,001662687;0,606880878;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;55;4,1;0,889;258;0,000429;1,200127246;0,004651656;1,697854437;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;25;4,2;0,965;267;0,000131;0,366927949;0,001374262;0,501605623;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;55;4,2;0,895;258;0,000407;1,139183284;0,004415439;1,611635266;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;25;5;0,979;288;0,000072;0,201583873;0,000699944;0,255479562;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;5;0,954;285;0,000161;0,449850328;0,001578422;0,576124104;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;5;0,954;300;0,000152;0,426721637;0,001422405;0,519177992;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;40;5;0,967;300;0,00011;0,308077569;0,001026925;0,374827709;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;25;5;0,98;300;0,000068;0,189433501;0,000631445;0,230477427;Calendar Aging of Lithium-Ion Batteries;NCA
UR18650E;2050;50;5;0,953;300;0,000158;0,323198198;0,001077327;0,393224474;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;40;5;0,971;300;0,000096;0,196227477;0,000654092;0,238743431;Calendar Aging of Lithium-Ion Batteries;NMC
UR18650E;2050;25;5;0,986;300;0,000048;0,098113739;0,000327046;0,119371715;Calendar Aging of Lithium-Ion Batteries;NMC
APR18650M1A;1100;50;5;0,926;270;0,000273;0,300203685;0,001111865;0,405830907;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;40;5;0,964;270;0,000135;0,148289058;0,000549219;0,200464838;Calendar Aging of Lithium-Ion Batteries;LFP
APR18650M1A;1100;25;5;0,993;270;0,000025;0,027447878;0,000101659;0,037105465;Calendar Aging of Lithium-Ion Batteries;LFP
NCR18650PD;2800;25;10;0,978;288;0,000076;0,214182865;0,000743691;0,271447034;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;10;0,951;285;0,000171;0,479557425;0,001682658;0,614170035;Calendar Aging of NCA Lithium-I;NCA
NCR18650PD;2800;50;10;0,951;300;0,000164;0,457978317;0,001526594;0,557206953;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;40;10;0,965;300;0,000116;0,32353031;0,001078434;0,393628544;Calendar Aging of Lithium-Ion Batteries;NCA
NCR18650PD;2800;25;10;0,976;300;0,000079;0,220690182;0,000735634;0,268506388;Calendar Aging of Lithium-Ion Batteries;NCA
