Zelle;Kapazität in mAh;Temperatur;Volt/SOC;Relative Kapazität in %;Dauer d. Alterung in Tagen;Rel. Kapa. % / Tag;Verlust an abs. Kapa in mAh für entsprechende Tage;mAh/Tag;mAh/Jahr;Paper;Chemie;Art d. Alterung;Kondition der Alterung
NCR18650PD;2800;25;0;0.984;288.0;0.0055556;44.8;0.155555556;56.77777778;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;0;0.967;285.0;0.0115789;92.4;0.324210526;118.3368421;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;0;0.967;300.0;0.0110000;92.4;0.308;112.42;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;40;0;0.976;300.0;0.0080000;67.2;0.224;81.76;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;0;0.984;300.0;0.0053333;44.8;0.149333333;54.50666667;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
UR18650E;2050;50;0;0.974;300.0;0.0086667;53.3;0.177666667;64.84833333;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;40;0;0.981;300.0;0.0063333;38.95;0.129833333;47.38916667;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;25;0;0.989;300.0;0.0036667;22.55;0.075166667;27.43583333;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
APR18650M1A;1100;40;0;0.977;270.0;0.0085185;25.3;0.093703704;34.20185185;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;25;0;0.999;270.0;0.0003704;1.1;0.004074074;1.487037037;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
UR18650E;2050;50;0;0.938;512.3;0.0121020;127.1;0.248091976;90.55357108;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC;Calendar;Keine Angabe
INR18650-26F;2600;60;2;1.016;30.0;-0.0533333;-41.6;-1.386666667;-506.1333333;Comparative Study on the Calendar Ageing;NMC;Calendar;Keine Angabe
INR18650-26F;2600;60;2;1.015;60.0;-0.0250000;-39;-0.65;-237.25;Comparative Study on the Calendar Ageing;NMC;Calendar;Keine Angabe
INR18650-26F;2600;60;2;1.010;90.0;-0.0111111;-26;-0.288888889;-105.4444444;Comparative Study on the Calendar Ageing;NMC;Calendar;Keine Angabe
INR18650-26F;2600;60;2;1.011;120.0;-0.0091667;-28.6;-0.238333333;-86.99166667;Comparative Study on the Calendar Ageing;NMC;Calendar;Keine Angabe
INR18650-25R;2500;60;2;1.028;30.0;-0.0933333;-70;-2.333333333;-851.6666667;Comparative Study on the Calendar Ageing;NCA;Calendar;Keine Angabe
INR18650-25R;2500;60;2;1.021;60.0;-0.0350000;-52.5;-0.875;-319.375;Comparative Study on the Calendar Ageing;NCA;Calendar;Keine Angabe
INR18650-25R;2500;60;2;1.012;90.0;-0.0133333;-30;-0.333333333;-121.6666667;Comparative Study on the Calendar Ageing;NCA;Calendar;Keine Angabe
INR18650-25R;2500;60;2;1.004;120.0;-0.0033333;-10;-0.083333333;-30.41666667;Comparative Study on the Calendar Ageing;NCA;Calendar;Keine Angabe
UR18650ZY;2600;60;2;1.062;30.0;-0.2066667;-161.2;-5.373333333;-1961.266667;Comparative Study on the Calendar Ageing;LCO;Calendar;Keine Angabe
UR18650ZY;2600;60;2;1.051;60.0;-0.0850000;-132.6;-2.21;-806.65;Comparative Study on the Calendar Ageing;LCO;Calendar;Keine Angabe
UR18650ZY;2600;60;2;1.046;90.0;-0.0511111;-119.6;-1.328888889;-485.0444444;Comparative Study on the Calendar Ageing;LCO;Calendar;Keine Angabe
UR18650ZY;2600;60;2;1.038;120.0;-0.0316667;-98.8;-0.823333333;-300.5166667;Comparative Study on the Calendar Ageing;LCO;Calendar;Keine Angabe
NITECORE 2000mAh (?);2000;60;2;1.108;30.0;-0.3600000;-216;-7.2;-2628;Comparative Study on the Calendar Ageing;LMO;Calendar;Keine Angabe
NITECORE 2000mAh (?);2000;60;2;1.100;60.0;-0.1666667;-200;-3.333333333;-1216.666667;Comparative Study on the Calendar Ageing;LMO;Calendar;Keine Angabe
NITECORE 2000mAh (?);2000;60;2;1.112;90.0;-0.1244444;-224;-2.488888889;-908.4444444;Comparative Study on the Calendar Ageing;LMO;Calendar;Keine Angabe
NITECORE 2000mAh (?);2000;60;2;1.116;120.0;-0.0966667;-232;-1.933333333;-705.6666667;Comparative Study on the Calendar Ageing;LMO;Calendar;Keine Angabe
INR18650-26F;2600;50;2;0.995;100.0;0.0050000;13;0.13;47.45;Comparative Study on the Calendar Ageing;NMC;Calendar;Keine Angabe
INR18650-26F;2600;50;2;1.055;150.0;-0.0366667;-143;-0.953333333;-347.9666667;Comparative Study on the Calendar Ageing;NMC;Calendar;Keine Angabe
INR18650-25R;2500;50;2;1.122;100.0;-0.1220000;-305;-3.05;-1113.25;Comparative Study on the Calendar Ageing;NCA;Calendar;Keine Angabe
INR18650-25R;2500;50;2;1.122;150.0;-0.0813333;-305;-2.033333333;-742.1666667;Comparative Study on the Calendar Ageing;NCA;Calendar;Keine Angabe
UR18650ZY;2600;50;2;1.160;100.0;-0.1600000;-416;-4.16;-1518.4;Comparative Study on the Calendar Ageing;LCO;Calendar;Keine Angabe
UR18650ZY;2600;50;2;1.187;150.0;-0.1246667;-486.2;-3.241333333;-1183.086667;Comparative Study on the Calendar Ageing;LCO;Calendar;Keine Angabe
NITECORE 2000mAh (?);2000;50;2;1.246;100.0;-0.2460000;-492;-4.92;-1795.8;Comparative Study on the Calendar Ageing;LMO;Calendar;Keine Angabe
NITECORE 2000mAh (?);2000;50;2;1.267;150.0;-0.1780000;-534;-3.56;-1299.4;Comparative Study on the Calendar Ageing;LMO;Calendar;Keine Angabe
NCR18650PD;2800;25;0;0.992;267.0;0.0029963;22.4;0.083895131;30.62172285;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;55;0;0.971;258.0;0.0112403;81.2;0.314728682;114.875969;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;12;0.985;267.0;0.0056180;42;0.157303371;57.41573034;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;55;12;0.943;258.0;0.0220930;159.6;0.618604651;225.7906977;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;28;0.978;267.0;0.0082397;61.6;0.23071161;84.20973783;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;55;28;0.927;258.0;0.0282946;204.4;0.792248062;289.1705426;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;45;0.978;267.0;0.0082397;61.6;0.23071161;84.20973783;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;55;45;0.918;258.0;0.0317829;229.6;0.889922481;324.8217054;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;62;0.955;267.0;0.0168539;126;0.471910112;172.247191;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;55;62;0.899;258.0;0.0391473;282.8;1.096124031;400.0852713;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;76;0.956;267.0;0.0164794;123.2;0.461423221;168.4194757;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
